#fmp-capture-log,1
#device,label=iphone-15,platform=ios,model=iPhone 15,os=18.2,app_build=1,utc_offset_min=330
kind,ran_at,fix_at,accuracy_m,source,battery_pct,charging,power_save,permission,mode,event
E,1757919600000,,,,,,,,,app_opened
E,1757919609000,,,,,,,,,perm_fg_prompt_shown
E,1757919618000,,,,,,,,,perm_fg_granted
E,1757919627000,,,,,,,,,perm_always_prompt_shown
E,1757919636000,,,,,,,,,perm_always_granted
E,1757919645000,,,,,,,,,capture_started
S,1757919660000,1757919627000,1000.0,slc,59,0,0,always,ios_all,
S,1757920320000,1757920304000,10.0,visit_departure,59,0,0,always,ios_all,
S,1757927460000,,,none,56,0,0,always,ios_all,
S,1757933880000,1757933863000,5.0,visit_arrival,53,0,0,always,ios_all,
S,1757936820000,1757936786000,30.0,visit_departure,52,0,0,always,ios_all,
S,1757944860000,1757944801000,5.0,slc,48,0,0,always,ios_all,
S,1757947320000,1757947312000,10.0,continuous,47,0,0,always,ios_all,
S,1757948100000,1757948040000,30.0,visit_departure,47,0,0,always,ios_all,
S,1757950080000,1757950041000,10.0,slc,46,0,0,always,ios_all,
S,1757956260000,1757956207000,30.0,visit_arrival,44,0,0,always,ios_all,
S,1757959080000,1757959024000,5.0,slc,63,1,0,always,ios_all,
S,1757991240000,1757991215000,5.0,visit_arrival,50,0,0,always,ios_all,
S,1757999880000,1757999865000,140.0,slc,46,0,0,always,ios_all,
S,1758001860000,1758001848000,140.0,visit_departure,45,0,0,always,ios_all,
S,1758006180000,1758006147000,5.0,visit_departure,44,0,0,always,ios_all,
S,1758011760000,,,none,41,0,0,always,ios_all,
S,1758016140000,,,none,40,0,0,always,ios_all,
S,1758022560000,1758022541000,140.0,visit_departure,37,0,0,always,ios_all,
S,1758024480000,1758024435000,1000.0,slc,36,0,0,always,ios_all,
S,1758027240000,1758027195000,10.0,slc,35,0,0,always,ios_all,
S,1758033180000,1758033148000,10.0,visit_arrival,32,0,0,always,ios_all,
S,1758040440000,1758040385000,5.0,visit_departure,29,0,0,always,ios_all,
S,1758072840000,1758072819000,5.0,slc,16,0,0,always,ios_all,
S,1758074580000,,,none,15,0,1,always,ios_all,
S,1758075180000,1758075152000,10.0,slc,15,0,1,always,ios_all,
S,1758078060000,1758078038000,65.0,slc,14,0,1,always,ios_all,
S,1758080460000,1758080412000,5.0,visit_arrival,13,0,1,always,ios_all,
S,1758083460000,1758083458000,5.0,visit_departure,11,0,1,always,ios_all,
S,1758088800000,1758088753000,30.0,slc,9,0,1,always,ios_all,
S,1758090060000,1758090015000,10.0,slc,9,0,1,always,ios_all,
S,1758097140000,1758097121000,140.0,slc,6,0,1,always,ios_all,
S,1758104160000,1758104114000,140.0,slc,3,0,1,always,ios_all,
S,1758110820000,1758110808000,1000.0,continuous,1,0,1,always,ios_all,
S,1758117960000,1758117957000,65.0,slc,1,0,1,always,ios_all,
S,1758119640000,1758119593000,30.0,slc,1,0,1,always,ios_all,
S,1758124500000,1758124467000,140.0,visit_departure,1,0,1,always,ios_all,
S,1758132900000,1758132893000,1000.0,visit_departure,59,1,1,always,ios_all,
