#fmp-capture-log,1
#device,label=oneplus-fgs,platform=android,model=OnePlus 11,os=14,app_build=3,utc_offset_min=330
kind,ran_at,fix_at,accuracy_m,source,battery_pct,charging,power_save,permission,mode,event
E,1757926800000,,,,,,,,,app_opened
E,1757926806000,,,,,,,,,perm_fg_prompt_shown
E,1757926812000,,,,,,,,,perm_fg_granted
E,1757926818000,,,,,,,,,perm_bg_settings_opened
E,1757926824000,,,,,,,,,perm_bg_granted
E,1757926830000,,,,,,,,,hibernation_prompt_shown
E,1757926836000,,,,,,,,,hibernation_declined
E,1757926842000,,,,,,,,,oem_settings_opened
E,1757926848000,,,,,,,,,capture_started
S,1757926860000,1757926854833,10.8,updates,52,0,0,background,fgs,
S,1757927460000,1757927447096,35.8,updates,52,0,0,background,fgs,
S,1757928060000,1757928041486,46.6,updates,51,0,0,background,fgs,
S,1757928660000,1757928651752,58.6,updates,51,0,0,background,fgs,
S,1757929260000,1757929247623,37.2,updates,50,0,0,background,fgs,
S,1757929860000,1757929856736,52.9,updates,50,0,0,background,fgs,
S,1757930460000,1757930446624,9.0,updates,49,0,0,background,fgs,
S,1757931060000,1757931043197,5.2,updates,49,0,0,background,fgs,
S,1757931660000,1757930460000,43.0,last_known,48,0,0,background,fgs,
S,1757932260000,1757932255192,29.9,updates,48,0,0,background,fgs,
S,1757932920000,1757932908212,26.6,updates,47,0,0,background,fgs,
S,1757933520000,1757933514845,42.0,updates,47,0,0,background,fgs,
S,1757934120000,1757934100458,37.1,updates,46,0,1,background,fgs,
S,1757934720000,1757934713854,27.0,updates,46,0,0,background,fgs,
S,1757935380000,1757935371744,35.2,updates,45,0,0,background,fgs,
S,1757935980000,1757935972597,7.8,updates,45,0,0,background,fgs,
S,1757936580000,1757936564293,35.8,updates,44,0,0,background,fgs,
S,1757937180000,1757937162022,33.3,updates,44,0,0,background,fgs,
S,1757937780000,1757937766122,8.6,updates,43,0,0,background,fgs,
S,1757938380000,1757938370451,21.5,updates,43,0,0,background,fgs,
S,1757939040000,1757939031834,49.0,updates,42,0,0,background,fgs,
S,1757939640000,1757939630422,48.9,updates,42,0,0,background,fgs,
S,1757940240000,1757940234202,9.8,updates,41,0,0,background,fgs,
S,1757940840000,1757940834971,41.1,updates,41,0,0,background,fgs,
S,1757941440000,1757941432422,6.6,updates,40,0,0,background,fgs,
S,1757942040000,1757942021252,7.8,updates,40,0,0,background,fgs,
S,1757942700000,1757942698238,344.5,updates,39,0,0,background,fgs,
S,1757943300000,1757943280526,13.4,updates,39,0,0,background,fgs,
