#fmp-capture-log,1
#device,label=xiaomi-wm,platform=android,model=Redmi Note 12,os=14,app_build=3,utc_offset_min=330
kind,ran_at,fix_at,accuracy_m,source,battery_pct,charging,power_save,permission,mode,event
E,1757923200000,,,,,,,,,app_opened
E,1757923207000,,,,,,,,,perm_fg_prompt_shown
E,1757923214000,,,,,,,,,perm_fg_granted
E,1757923221000,,,,,,,,,perm_bg_settings_opened
E,1757923228000,,,,,,,,,perm_bg_granted
E,1757923235000,,,,,,,,,hibernation_prompt_shown
E,1757923242000,,,,,,,,,hibernation_exempted
E,1757923249000,,,,,,,,,capture_started
S,1757923260000,,,none,73,0,0,background,wm,
S,1757924220000,1757924211168,17.1,current,73,0,0,background,wm,
S,1757925420000,1757925413568,8.0,current,72,0,0,background,wm,
S,1757926620000,1757926610044,59.4,current,72,0,0,background,wm,
S,1757927580000,1757926440000,59.2,last_known,71,0,0,background,wm,
S,1757929200000,1757929192979,53.0,current,70,0,0,background,wm,
S,1757930100000,1757930085576,51.7,current,70,0,0,background,wm,
S,1757931120000,1757931117794,43.8,current,69,0,0,background,wm,
S,1757932140000,1757932120426,20.0,current,69,0,0,background,wm,
S,1757933040000,1757920560000,48.9,last_known,68,0,0,background,wm,
S,1757934000000,1757933984989,58.6,current,68,0,0,background,wm,
S,1757935020000,1757933700000,10.8,last_known,67,0,0,background,wm,
S,1757936640000,1757936634792,5.1,current,66,0,0,background,wm,
S,1757937540000,1757937528627,30.9,current,66,0,0,background,wm,
S,1757938440000,1757938422395,22.1,current,65,0,0,background,wm,
S,1757939460000,1757939448266,32.5,current,64,0,0,background,wm,
S,1757940360000,1757940349559,29.8,current,64,0,0,background,wm,
S,1757941260000,1757941259639,211.0,current,63,0,0,background,wm,
S,1757942280000,1757942268327,17.9,current,63,0,0,background,wm,
S,1757943900000,1757937960000,23.4,last_known,62,0,0,background,wm,
S,1757944860000,1757944850614,21.0,current,61,0,1,background,wm,
S,1757946480000,1757943240000,30.2,last_known,61,0,1,background,wm,
S,1757948100000,,,none,60,0,0,background,wm,
S,1757949120000,1757949119264,36.1,current,59,0,0,background,wm,
S,1757950320000,1757950301697,40.9,current,58,0,0,background,wm,
S,1757951940000,1757951939353,29.3,current,58,0,0,background,wm,
S,1757952840000,1757946480000,15.9,last_known,57,0,0,background,wm,
S,1757954460000,1757942820000,52.0,last_known,56,0,0,background,wm,
S,1757955660000,1757955652685,13.6,current,55,0,1,background,wm,
S,1757957280000,1757957264269,50.0,current,55,0,0,background,wm,
S,1757958180000,1757958164836,178.6,current,61,1,0,background,wm,
S,1757959200000,1757959198674,26.5,current,68,1,0,background,wm,
S,1757960160000,1757960144374,20.5,current,75,1,0,background,wm,
S,1757961360000,1757961351876,12.3,current,83,1,0,background,wm,
S,1757962560000,1757962558891,28.0,current,91,1,0,background,wm,
S,1757963520000,1757963503329,53.8,current,98,1,0,background,wm,
S,1757964420000,1757964409346,16.4,current,100,1,1,background,wm,
S,1757965320000,1757965317955,16.1,current,100,1,0,background,wm,
S,1757966220000,1757966202184,20.0,current,100,1,0,background,wm,
S,1757967840000,1757967836997,34.1,current,100,1,1,background,wm,
S,1757968860000,,,none,100,1,0,background,wm,
S,1757970480000,1757970475832,358.1,current,100,1,0,background,wm,
S,1757971500000,1757971481899,24.5,current,100,1,0,background,wm,
S,1757972460000,1757972440489,14.0,current,100,1,0,background,wm,
S,1757973480000,1757973474566,302.9,current,100,1,0,background,wm,
S,1757974380000,1757974369766,22.8,current,100,1,0,background,wm,
S,1757975340000,1757975334159,43.5,current,100,1,0,background,wm,
S,1757976240000,1757976225514,36.4,current,100,1,0,background,wm,
S,1757977860000,1757977844667,43.6,current,100,1,0,background,wm,
S,1757978760000,1757964420000,44.9,last_known,100,1,0,background,wm,
S,1757979660000,1757969940000,51.4,last_known,100,1,0,background,wm,
S,1757980620000,1757980612835,50.9,current,100,1,0,background,wm,
S,1757981580000,1757981570294,55.1,current,100,1,0,background,wm,
S,1757982600000,1757975580000,43.7,last_known,100,1,0,background,wm,
S,1757983500000,1757983491598,55.9,current,100,1,0,background,wm,
S,1757985120000,1757985115744,43.0,current,99,0,0,background,wm,
S,1757986020000,1757973120000,12.6,last_known,98,0,0,background,wm,
S,1757986920000,1757986905841,20.1,current,98,0,0,background,wm,
S,1757988540000,1757988534022,45.8,current,97,0,0,background,wm,
S,1757989740000,1757989731519,12.3,current,96,0,0,background,wm,
S,1757990640000,1757990621380,31.9,current,96,0,0,background,wm,
S,1757991540000,1757981940000,31.4,last_known,95,0,0,background,wm,
S,1757993160000,1757993144194,20.7,current,94,0,0,background,wm,
S,1757994060000,1757994048685,57.7,current,94,0,0,background,wm,
S,1757994960000,1757994951136,246.9,current,93,0,0,background,wm,
S,1757995860000,1757995856161,37.4,current,93,0,0,background,wm,
S,1757996760000,1757996754002,43.2,current,92,0,0,background,wm,
S,1757998380000,1757998374952,37.9,current,91,0,0,background,wm,
S,1757999280000,1757999260749,49.0,current,91,0,0,background,wm,
S,1758000300000,1758000286257,294.9,current,90,0,0,background,wm,
S,1758001200000,1758001195041,32.4,current,90,0,0,background,wm,
S,1758002100000,1758002097921,29.2,current,89,0,0,background,wm,
S,1758003060000,1758003046669,34.0,current,89,0,0,background,wm,
S,1758003960000,1758003946455,32.6,current,88,0,0,background,wm,
S,1758004860000,1758004857208,36.7,current,88,0,0,background,wm,
S,1758005760000,1758001320000,43.7,last_known,87,0,1,background,wm,
S,1758006780000,,,none,87,0,0,background,wm,
S,1758007740000,1758007733523,8.8,current,86,0,0,background,wm,
S,1758008700000,1758008683705,15.6,current,85,0,0,background,wm,
S,1758009720000,1758009703816,45.8,current,85,0,0,background,wm,
S,1758011340000,1758011324659,37.0,current,84,0,0,background,wm,
S,1758012960000,1758012942198,41.4,current,83,0,0,background,wm,
S,1758013860000,1758001080000,31.1,last_known,83,0,0,background,wm,
S,1758014760000,,,none,82,0,0,background,wm,
S,1758015960000,1758015955599,440.8,current,81,0,0,background,wm,
E,1758031200000,,,,,,,,,watchdog_restart
S,1758031200000,,,none,73,0,0,background,wm,
S,1758032100000,1758032080893,42.2,current,72,0,0,background,wm,
S,1758033120000,1758033103209,41.5,current,72,0,1,background,wm,
S,1758034080000,1758034075343,196.4,current,71,0,1,background,wm,
S,1758035040000,1758035031212,33.1,current,71,0,1,background,wm,
S,1758035940000,1758035920292,58.1,current,70,0,0,background,wm,
S,1758036840000,1758036820181,10.6,current,70,0,0,background,wm,
S,1758037800000,1758037794853,6.6,current,69,0,0,background,wm,
S,1758038700000,1758038690628,33.8,current,69,0,0,background,wm,
S,1758039900000,1758028800000,51.2,last_known,68,0,0,background,wm,
S,1758040800000,1758037260000,48.9,last_known,68,0,0,background,wm,
S,1758041700000,1758041694617,5.2,current,67,0,0,background,wm,
